停	3818	0.0246
减	3810	0.0245
男	3807	0.0245
胜	3798	0.0244
答	3795	0.0244
析	3779	0.0243
忙	3777	0.0243
短	3770	0.0242
烈	3767	0.0242
映	3752	0.0241
财	3747	0.0241
背	3744	0.0241
奇	3741	0.0241
药	3740	0.0241
承	3739	0.024
岁	3711	0.0239
略	3673	0.0236
穿	3651	0.0235
牛	3640	0.0234
室	3635	0.0234
移	3634	0.0234
饭	3634	0.0234
坏	3618	0.0233
假	3616	0.0233
州	3612	0.0232
缺	3611	0.0232
愿	3610	0.0232
练	3600	0.0232
超	3587	0.0231
雨	3583	0.023
慢	3582	0.023
竟	3575	0.023
呼	3571	0.023
散	3563	0.0229
灵	3562	0.0229
副	3552	0.0228
歌	3548	0.0228
谓	3541	0.0228
虫	3539	0.0228
读	3538	0.0228
介	3529	0.0227
培	3519	0.0226
卫	3515	0.0226
宗	3504	0.0225
章	3487	0.0224
评	3473	0.0223
伤	3473	0.0223
丰	3470	0.0223
核	3444	0.0221
预	3438	0.0221
担	3428	0.022
诉	3421	0.022
惊	3421	0.022
刘	3420	0.022
景	3399	0.0219
乱	3385	0.0218
氧	3379	0.0217
阿	3377	0.0217
龙	3369	0.0217
宣	3366	0.0216
升	3363	0.0216
爷	3362	0.0216
洲	3361	0.0216
判	3353	0.0216
案	3329	0.0214
协	3306	0.0213
福	3301	0.0212
货	3290	0.0212
味	3289	0.0212
若	3285	0.0211
促	3284	0.0211
希	3265	0.021
握	3253	0.0209
端	3246	0.0209
针	3241	0.0208
屋	3228	0.0208
掌	3215	0.0207
检	3206	0.0206
痛	3206	0.0206
闻	3204	0.0206
妇	3195	0.0205
贵	3191	0.0205
顾	3190	0.0205
沙	3182	0.0205
扩	3170	0.0204
困	3139	0.0202
哥	3122	0.0201
嘴	3122	0.0201
销	3116	0.02
印	3114	0.02
免	3101	0.0199
烟	3098	0.0199
跳	3092	0.0199
香	3090	0.0199
纸	3074	0.0198
户	3061	0.0197
板	3059	0.0197
睛	3040	0.0196
误	3028	0.0195
探	3021	0.0194
座	3018	0.0194
盾	3016	0.0194
灯	3016	0.0194
搞	3012	0.0194
祖	3003	0.0193
顺	2999	0.0193
婚	2995	0.0193
赶	2987	0.0192
季	2983	0.0192
兰	2979	0.0192
忽	2974	0.0191
践	2967	0.0191
熟	2962	0.019
矛	2961	0.019
银	2960	0.019
爸	2957	0.019
临	2956	0.019
佛	2946	0.0189
犯	2945	0.0189
胞	2941	0.0189
讨	2940	0.0189
陆	2938	0.0189
补	2937	0.0189
童	2929	0.0188
圆	2929	0.0188
归	2924	0.0188
弟	2920	0.0188
域	2914	0.0187
索	2906	0.0187
罪	2899	0.0186
脱	2882	0.0185
追	2870	0.0185
守	2866	0.0184
课	2864	0.0184
顶	2860	0.0184
松	2852	0.0183
杀	2840	0.0183
掉	2835	0.0182
野	2832	0.0182
训	2825	0.0182
遍	2822	0.0181
庭	2816	0.0181
弱	2814	0.0181
赛	2811	0.0181
额	2799	0.018
酒	2790	0.0179
绿	2789	0.0179
席	2786	0.0179
露	2785	0.0179
卖	2765	0.0178
钟	2760	0.0178
旁	2750	0.0177
肉	2743	0.0176
央	2743	0.0176
染	2739	0.0176
欧	2734	0.0176
怀	2732	0.0176
稳	2722	0.0175
伯	2721	0.0175
编	2707	0.0174
抓	2701	0.0174
玉	2691	0.0173
咱	2690	0.0173
唯	2687	0.0173
唱	2683	0.0173
翻	2682	0.0172
释	2682	0.0172
控	2680	0.0172
怪	2677	0.0172
阵	2670	0.0172
烧	2667	0.0172
堂	2666	0.0171
杨	2658	0.0171
您	2654	0.0171
诗	2648	0.017
灭	2647	0.017
夏	2645	0.017
敢	2645	0.017
退	2632	0.0169
姑	2631	0.0169
恶	2618	0.0168
透	2616	0.0168
鲜	2605	0.0168
附	2602	0.0167
骨	2593	0.0167
审	2590	0.0167
胡	2586	0.0166
输	2584	0.0166
宁	2583	0.0166
丝	2581	0.0166
姐	2580	0.0166
彩	2576	0.0166
睡	2575	0.0166
巨	2572	0.0165
迫	2568	0.0165
鼓	2566	0.0165
伙	2566	0.0165
借	2563	0.0165
耳	2556	0.0164
典	2554	0.0164
刺	2553	0.0164
暗	2552	0.0164
镜	2551	0.0164
序	2542	0.0163
哈	2535	0.0163
菜	2528	0.0163
溶	2527	0.0163
笔	2523	0.0162
汽	2520	0.0162
礼	2516	0.0162
摇	2514	0.0162
迅	2507	0.0161
险	2500	0.0161
遗	2477	0.0159
威	2470	0.0159
沿	2470	0.0159
弹	2468	0.0159
私	2465	0.0159
攻	2462	0.0158
宝	2459	0.0158
抽	2454	0.0158
雪	2450	0.0158
孙	2449	0.0158
藏	2446	0.0157
毒	2446	0.0157
顿	2445	0.0157
末	2443	0.0157
摆	2433	0.0156
趣	2430	0.0156
救	2428	0.0156
镇	2427	0.0156
楼	2426	0.0156
智	2418	0.0156
园	2417	0.0155
康	2417	0.0155
永	2417	0.0155
遇	2412	0.0155
雄	2403	0.0155
替	2400	0.0154
危	2393	0.0154
楚	2380	0.0153
侵	2369	0.0152
枪	2357	0.0152
冰	2348	0.0151
健	2346	0.0151
播	2342	0.0151
途	2331	0.015
损	2330	0.015
秀	2327	0.015
丽	2320	0.0149
秋	2317	0.0149
执	2317	0.0149
束	2309	0.0148
纳	2309	0.0148
虑	2306	0.0148
疑	2306	0.0148
午	2306	0.0148
粮	2304	0.0148
架	2300	0.0148
盛	2298	0.0148
湖	2296	0.0148
尚	2291	0.0147
床	2289	0.0147
份	2286	0.0147
套	2278	0.0147
毫	2278	0.0147
奋	2268	0.0146
扬	2251	0.0145
赵	2247	0.0145
混	2239	0.0144
献	2237	0.0144
择	2233	0.0144
庄	2230	0.0143
殖	2221	0.0143
店	2215	0.0142
皇	2214	0.0142
